"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"belt" 0 0.01 0.01 0 0 0 0 0.01 0 0.01 0 0 0 0 0.11 0 0 0 0 0 0.01 0 0 0 0.03 0.01 0.01 0 0.01 0.02 0.01 0
"besides" 0 0.01 0 0 0.01 0.01 0.01 0.01 0.04 0.01 0.01 0 0.04 0.01 0.02 0.05 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0
"bottle" 0 0.03 0.01 0 0 0 0 0.02 0 0 0 0.06 0.02 0 0 0.01 0 0.04 0 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0 0.01 0 0
"broad" 0 0.01 0.01 0.01 0.01 0.01 0.04 0.01 0.02 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.04 0.01 0.02 0 0.01 0.02 0 0
"busy" 0 0.01 0.02 0.02 0 0.01 0 0.01 0.02 0 0.03 0.02 0 0.01 0 0.03 0 0 0 0 0.01 0 0 0 0 0.01 0.02 0.03 0 0 0 0
"count" 0.03 0.01 0 0.01 0 0.01 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0.02 0 0 0.03 0.01 0.02 0.01 0.02 0.02
"crack" 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.03 0 0 0.02 0.01 0.01 0 0.01 0 0 0.01 0.07 0.03 0 0 0.02 0.01 0.01
"cruel" 0 0 0.01 0 0.01 0.02 0 0.01 0.01 0 0.01 0.01 0 0 0 0.03 0 0 0 0 0 0 0.01 0.01 0 0.01 0.02 0 0 0.05 0 0.04
"drawn" 0.02 0 0.03 0.02 0 0 0.02 0.03 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0.02 0 0.03 0 0.02 0 0.02
"easily" 0.01 0 0.02 0.01 0.01 0.01 0.02 0.01 0 0 0 0 0.01 0.03 0.01 0.02 0.01 0 0 0.01 0.01 0 0 0.03 0.01 0 0.02 0 0 0 0 0
"explained" 0.01 0 0.02 0.01 0 0 0 0.01 0.02 0 0.02 0.01 0.03 0.02 0.01 0 0 0 0 0 0.03 0 0.03 0.02 0 0 0 0 0 0.01 0 0
"future" 0 0 0 0 0 0 0 0 0.03 0.01 0.01 0 0.09 0.05 0 0 0.01 0.02 0 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0
"glanced" 0 0 0 0 0 0.01 0 0 0.02 0.01 0.01 0.02 0 0.02 0.03 0 0.03 0.01 0.03 0.01 0.02 0.02 0.01 0 0 0 0 0 0 0 0 0
"greatest" 0.02 0.01 0 0 0 0.01 0 0 0.01 0.04 0.01 0.05 0 0.01 0 0 0 0 0 0.01 0 0 0.03 0.01 0 0 0.01 0.01 0 0.02 0 0
"hepzibah" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0
"herbalist" 0 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0.22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hissed" 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0.01 0.02 0 0.05 0.01 0.01 0 0 0.02 0 0.01 0 0 0.01 0.01 0 0.03 0.01 0.03
"immediately" 0 0 0 0.01 0.03 0 0 0.03 0.01 0.01 0 0 0.02 0.02 0 0 0 0.02 0.01 0.01 0.02 0 0 0 0 0 0.03 0 0 0.01 0.02 0
"knowledge" 0 0 0 0.01 0 0 0 0 0.02 0.05 0.01 0.02 0 0.02 0 0.01 0 0 0.02 0.02 0 0.01 0.04 0 0.02 0 0 0 0 0 0 0
"letters" 0 0 0 0.01 0 0 0.02 0.02 0 0 0 0 0.03 0 0 0 0 0.02 0 0 0 0 0.01 0.14 0 0 0 0 0 0 0 0
"listened" 0 0 0 0 0.03 0.02 0.01 0 0.02 0 0.01 0 0.01 0.01 0 0.01 0 0.01 0.01 0.01 0 0 0.02 0 0 0.03 0.02 0.01 0.01 0.01 0 0
"looks" 0.01 0.04 0 0 0 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0.04 0.03 0.01 0.01 0.01 0 0 0.01 0.01 0 0 0.02 0 0 0.01 0.02
"lovely" 0.03 0.03 0.04 0 0.02 0.02 0.02 0.02 0 0 0 0 0.01 0 0 0 0 0 0.01 0.03 0 0 0.01 0 0 0 0 0.01 0 0 0 0
"lower" 0 0.01 0.02 0.01 0.02 0.03 0 0.01 0 0 0 0 0.01 0.02 0.03 0 0 0 0 0 0 0 0 0.01 0 0 0.04 0.01 0 0 0 0.03
"map" 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0.19 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0
"piece" 0 0 0 0.01 0 0 0.01 0 0.01 0.02 0 0.01 0 0.01 0.01 0.02 0.02 0 0.01 0.01 0.02 0.01 0 0.02 0 0 0.02 0.01 0 0.02 0.01 0
"pointing" 0 0.01 0.03 0.01 0.01 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0.02 0.01 0.01 0.01 0.01 0.02 0.01 0.04 0.01 0.01 0 0 0 0 0.01 0
"points" 0 0.02 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0 0 0.08 0.02 0.04 0.01 0 0.01 0.01 0 0 0.01 0 0 0.01 0 0 0.01
"polly" 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"pretty" 0 0 0 0.04 0 0.02 0.04 0.03 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0.01 0.04 0.01 0 0 0 0 0.01
"replied" 0 0.01 0 0.02 0.06 0.02 0.02 0 0 0.03 0 0.02 0 0 0 0.02 0 0 0 0 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0
"rohan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17 0.02 0.06 0
"seeing" 0.01 0.01 0.02 0 0 0.02 0.01 0.01 0 0 0 0 0.02 0 0.01 0 0.01 0 0.01 0 0.04 0.01 0.02 0 0.01 0.01 0 0.01 0.01 0 0 0.01
"seek" 0 0 0 0.02 0.01 0 0.01 0 0.02 0.01 0 0.01 0.01 0.02 0 0.03 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0.05 0 0.01 0.03
"settled" 0 0.01 0.01 0 0.01 0.02 0.01 0.01 0 0.01 0.03 0 0.02 0.02 0.01 0 0 0 0 0.01 0 0.01 0.02 0.01 0.02 0.01 0 0 0.01 0 0 0
"shouldn" 0.01 0.02 0.05 0.06 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0.01 0.02 0.01 0.01 0 0.01 0 0.01 0 0.01 0 0 0 0
"shouting" 0.02 0 0 0.01 0 0.02 0.01 0.03 0 0.01 0.04 0 0 0.01 0 0 0.01 0 0 0.02 0.01 0.02 0 0 0.01 0 0 0.02 0.01 0 0 0
"size" 0 0.04 0.01 0.01 0 0.01 0.02 0.01 0 0 0.02 0 0.03 0.01 0 0.01 0.01 0 0 0.01 0.01 0 0.02 0.01 0 0 0.01 0.01 0 0 0 0
"slipped" 0 0 0.01 0 0 0 0 0.01 0.01 0 0.04 0.02 0.01 0.03 0.03 0 0.01 0 0.01 0 0.01 0 0 0 0.02 0 0.01 0.02 0 0 0 0.01
"space" 0.01 0.01 0 0.01 0.01 0 0 0.01 0 0 0 0 0.02 0.02 0.02 0 0.01 0 0.02 0 0.02 0 0.01 0 0.01 0.03 0.01 0 0.01 0.01 0.01 0
"stairs" 0 0 0 0.02 0 0 0.04 0 0 0.01 0.01 0.01 0 0.04 0.02 0.01 0.01 0.02 0 0 0 0.04 0 0 0 0.01 0 0 0 0 0 0.01
"stuff" 0 0.02 0.01 0.01 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0.03 0.04 0.02 0 0.04 0 0 0.04 0 0 0 0.01 0 0 0 0
"surely" 0.01 0 0.01 0.01 0 0.01 0 0 0 0.01 0.01 0.01 0 0.02 0.01 0.01 0.02 0.01 0.03 0.01 0.01 0.02 0.01 0.01 0 0.01 0 0 0 0 0 0.01
"talked" 0.01 0.01 0.01 0.02 0.02 0 0.01 0.02 0 0.01 0.01 0 0.05 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.03 0 0.01 0.01
"teacher" 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0.03 0.06 0 0.05 0 0.05 0.02 0 0 0 0 0 0 0 0 0
"touch" 0 0 0 0.02 0.01 0.03 0 0 0.01 0 0.01 0.02 0 0 0.02 0 0 0.03 0 0.01 0 0 0 0.01 0 0 0 0.03 0 0.02 0 0.03
"twisted" 0 0 0 0.01 0 0 0 0 0.02 0 0.01 0.01 0 0.01 0.06 0.04 0 0 0 0 0 0 0 0.02 0 0.04 0 0.01 0 0 0 0.02
"vast" 0 0 0.01 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0.01 0.01 0.01 0.01 0 0.01 0 0 0.01 0 0.02 0 0 0.01 0.08 0 0.03
"win" 0.04 0 0 0 0 0.01 0 0.01 0.01 0.04 0 0 0 0 0 0.03 0.04 0 0.02 0 0 0 0.01 0.01 0 0 0 0 0.03 0 0 0
"age" 0 0.01 0 0.01 0.04 0 0.01 0 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0 0.01 0.02 0 0.04 0.03 0 0 0 0 0.01 0 0.01 0.01
"backs" 0.04 0.04 0.01 0 0 0 0.01 0.03 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0.03 0.01 0 0.01 0 0.01
"bombur" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.2 0 0 0 0
"careful" 0 0 0.01 0 0 0 0 0 0.02 0.01 0.03 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0.01 0.02 0 0 0.05 0 0.01 0.02 0 0 0 0.01
"closer" 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0.02 0.03 0 0.01 0.01 0.03 0.01 0 0.01 0.01 0.01 0 0.01 0 0 0.02 0 0 0.01 0.02
"doctor" 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"early" 0 0.01 0.03 0 0.04 0 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0 0.02 0.01 0 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0 0
"enchanted" 0 0.01 0 0.07 0 0 0.01 0 0 0 0 0 0 0 0.03 0 0 0 0.04 0 0.01 0 0 0 0 0.03 0 0.04 0 0 0 0
"ended" 0 0.01 0.02 0.01 0.02 0 0.01 0 0 0 0.01 0.02 0 0 0.02 0 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0.03 0.01 0 0.03 0.01 0
"figure" 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0.04 0 0 0.01 0.02 0 0 0 0.01 0 0.03 0.02 0 0.01 0.01 0.01 0.02 0.02
"form" 0 0 0 0.01 0 0.01 0.01 0 0.02 0.01 0.02 0.02 0 0.01 0.04 0.01 0 0 0.02 0.01 0 0.03 0.01 0 0 0 0 0.01 0 0 0 0
"gaze" 0 0 0 0 0 0 0.01 0 0.05 0.02 0 0.02 0 0.04 0.02 0.04 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01
"glaedr" 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0.02 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"grown" 0 0.04 0 0.01 0.01 0.02 0.02 0 0.01 0.02 0 0.01 0 0 0 0.01 0 0.02 0 0.01 0 0 0.01 0 0 0 0 0 0.01 0 0.03 0.01
"hate" 0.01 0.01 0 0 0 0.01 0 0 0.01 0.01 0 0.01 0.01 0.01 0.01 0.04 0.01 0 0.02 0 0 0 0.05 0 0 0 0 0.01 0 0.01 0 0.01
"ink" 0 0 0 0 0 0 0.02 0 0 0 0 0.02 0.03 0 0 0 0.02 0.09 0 0 0.01 0.01 0.01 0.02 0 0 0 0 0.01 0 0 0
"iron" 0 0.01 0 0 0.01 0.06 0 0.02 0.01 0.01 0.01 0.01 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0.02 0 0.02
"kings" 0.02 0.08 0 0 0.01 0 0.03 0 0.01 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0.01 0.02 0 0
"learn" 0 0.01 0.01 0.01 0.01 0 0.01 0 0.01 0.02 0.01 0.01 0.04 0.03 0 0.02 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0.01 0 0 0
"marsh-wiggle" 0 0 0.18 0.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"miss" 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.03 0.02 0.01 0.01 0.01 0.11 0 0 0 0 0.01 0 0 0 0 0.01
"narnians" 0.15 0.03 0.02 0 0.01 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"narrow" 0 0 0.02 0.02 0 0.02 0 0 0.01 0 0.01 0.03 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0.01 0.01 0 0.01 0.04
"otherwise" 0 0 0.01 0.01 0 0.01 0.02 0 0.02 0.02 0 0 0 0.02 0.03 0.02 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0.03 0.01 0
"passing" 0 0.01 0 0.01 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0.02 0.01 0.03 0 0.01 0 0.03 0.02 0.03
"rate" 0 0.01 0.01 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.03 0.01 0.02 0.03 0.01 0.01 0.01 0.05
"share" 0.01 0 0 0 0 0 0 0 0.06 0.05 0 0.02 0 0.01 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0.04 0 0.01 0 0.01
"slid" 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0.02 0.01 0.03 0.03 0.01 0 0.02 0.02 0 0.01 0.02 0 0 0.01 0 0 0.01 0 0.01
"slope" 0 0 0.05 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0.01 0.04 0.01 0 0.04 0.03 0.01
"steady" 0 0 0.02 0.07 0.01 0.02 0.02 0.01 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0
"strode" 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.02 0 0.02 0 0.03 0.04 0.01 0 0 0.03 0.01 0.01 0 0 0.01 0 0 0 0.03 0
"sunlight" 0.01 0 0.02 0.01 0 0 0.03 0.03 0 0 0 0 0.02 0.01 0 0 0.01 0 0 0.01 0 0 0.01 0.02 0 0.02 0 0.01 0 0.02 0 0.01
"swift" 0 0.01 0 0 0.02 0.03 0 0 0 0 0 0 0 0.03 0.02 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0.01 0.03 0.05 0 0.01
"thorin" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0.17 0 0 0 0
"throat" 0 0 0 0 0 0 0 0.02 0.01 0.03 0 0.01 0.01 0 0.04 0.01 0 0 0.01 0.01 0.03 0 0.02 0 0.03 0 0 0 0 0.01 0 0
"tip" 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0.01 0.04 0.03 0.01 0.02 0.04 0.01 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0
"twice" 0 0.01 0 0.01 0.01 0 0 0 0.01 0 0.02 0.02 0 0.01 0 0.03 0.01 0 0.02 0.02 0.01 0 0 0.02 0 0.01 0 0.01 0 0.01 0 0.01
"wondering" 0 0.02 0.01 0.01 0 0.01 0.01 0.03 0.01 0 0.01 0 0 0 0 0 0 0.01 0.02 0 0.01 0 0.01 0.02 0 0 0.01 0.02 0 0 0.03 0
"wooden" 0.01 0.01 0 0 0.02 0 0 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0.02 0.01 0.02 0 0.09 0.01 0 0 0 0
"anger" 0 0 0 0 0 0 0 0.01 0 0.01 0 0.02 0 0.02 0 0.01 0.02 0 0.01 0 0.01 0.01 0.03 0.02 0 0.02 0.02 0 0 0.01 0.01 0
"attention" 0 0 0 0 0 0.02 0 0 0.03 0.02 0.01 0.02 0.02 0.01 0 0.01 0 0 0.03 0.04 0 0 0 0 0 0 0 0 0 0 0.01 0.01
"awake" 0 0 0.01 0.01 0 0.03 0.02 0.03 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0.03 0.02 0 0.01 0 0.01 0 0.02 0.01 0
"begun" 0.02 0 0 0.02 0 0.02 0 0.04 0 0 0.01 0.01 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0.03 0.01 0.02 0.01 0 0
"boys" 0 0.05 0 0 0.01 0 0.01 0 0.01 0 0.01 0 0 0.01 0 0 0.02 0.01 0.01 0 0 0.01 0.01 0.01 0 0 0.03 0 0.03 0 0 0
"built" 0 0.01 0.03 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0.01 0 0 0 0 0.01 0 0 0 0.04 0.02 0.01 0 0 0.03 0 0.04
"caused" 0 0 0 0.02 0.01 0 0 0 0.02 0.01 0.03 0.05 0 0.01 0.01 0.01 0 0 0.01 0.01 0 0.01 0.02 0 0 0 0.01 0 0 0 0 0
"command" 0.02 0 0 0 0 0 0 0 0.03 0.01 0 0.01 0.01 0.04 0.02 0.01 0 0 0 0.03 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0.02
"deeper" 0.01 0.01 0.01 0.01 0 0 0 0 0.01 0 0.03 0 0 0.02 0 0.01 0 0 0 0 0 0 0.01 0.02 0 0.04 0.02 0.01 0 0 0.02 0
"difficulty" 0 0.05 0.01 0 0.01 0 0 0 0.01 0.03 0 0.01 0 0.01 0.02 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0 0.01 0 0.02 0 0.01
"dori" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18 0.05 0 0 0 0
"fit" 0 0.01 0 0.04 0 0 0 0 0 0.01 0.01 0.03 0 0.04 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0.01 0 0.02 0
"gentle" 0.01 0 0.06 0.01 0.01 0.01 0.02 0 0 0 0 0.02 0 0.01 0 0.01 0 0.01 0 0 0.01 0.01 0 0 0 0.02 0.01 0 0 0 0.01 0
"handed" 0 0.02 0 0 0 0 0 0.03 0 0 0.01 0.02 0.01 0.02 0.02 0 0 0 0.01 0.03 0.03 0.01 0 0.01 0.01 0 0 0 0 0 0 0
"hide" 0.04 0 0 0 0.02 0 0 0.01 0 0.01 0.01 0 0.02 0.01 0.01 0.01 0 0 0 0 0.01 0 0 0.02 0.01 0 0 0 0 0.01 0 0.04
"impossible" 0 0.02 0 0 0 0 0 0 0 0 0.02 0.01 0.03 0.02 0 0.04 0.02 0 0 0.01 0.01 0.01 0 0.01 0 0.01 0 0.01 0 0 0 0.01
"keeping" 0 0 0.01 0.03 0.01 0.03 0 0 0 0.01 0.01 0 0.01 0.01 0.01 0 0.01 0 0.01 0.01 0.03 0 0.01 0 0 0 0 0 0 0.01 0.01 0.01
"makes" 0 0.02 0.03 0 0 0 0.01 0 0.02 0.01 0.02 0 0.03 0.03 0.01 0 0 0 0.01 0 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0
"marietta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23 0 0 0 0 0 0 0 0 0 0
"message" 0.01 0 0.01 0.02 0 0 0 0.01 0.01 0.01 0 0 0.02 0.04 0 0 0.01 0.01 0 0 0 0.01 0.01 0 0.03 0 0 0 0.03 0 0 0
"nay" 0.05 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.11 0 0.01 0
"party" 0.05 0 0.02 0 0 0.02 0 0.04 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0.03 0.03 0 0 0 0
"realm" 0 0.01 0 0.04 0 0 0 0 0.01 0.03 0 0 0 0.01 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.06 0 0.01
"roared" 0 0 0.01 0 0 0 0 0.02 0 0 0 0.02 0.01 0 0.02 0.01 0.01 0.03 0.01 0.01 0 0.01 0.03 0.02 0 0 0.01 0 0 0 0 0.01
"sad" 0 0.03 0 0.04 0 0 0.01 0.02 0 0.01 0 0 0.03 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0.04 0.01
"sauron" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0.08 0.02 0.06
"secrets" 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0.02 0.02 0 0 0.02 0 0.08 0.01 0.01 0.02 0 0 0 0 0.01 0 0.01 0 0 0 0
"signs" 0.01 0 0.03 0.02 0.01 0 0.02 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0.02 0 0 0 0 0 0.01 0 0.06 0.01
"spoken" 0 0.01 0.02 0.02 0.02 0.02 0.01 0 0.01 0 0 0.01 0 0.02 0 0.01 0 0 0.01 0 0.02 0 0 0 0 0 0.01 0 0.01 0.02 0 0.01
"spread" 0.01 0 0.01 0 0.01 0.01 0.03 0 0 0 0 0.01 0.02 0 0.02 0.01 0 0.01 0 0.01 0.01 0.01 0 0.01 0 0.02 0.01 0 0 0.01 0.01 0
"summer" 0 0.01 0.01 0.01 0.02 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0.02 0 0 0.01 0.03 0.01 0 0 0.03 0.01
"swung" 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.03 0.01 0.04 0.02 0.01 0 0 0 0 0.03 0 0.01 0.01 0 0.03 0 0 0 0.01 0.01
"twelve" 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0.02 0 0.02 0.01 0 0 0.02 0.01 0 0.03 0 0.04 0.01 0 0 0.01 0.03 0 0 0 0
"weary" 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0.01 0.05 0.01 0.03 0.06
"weight" 0 0 0 0.01 0.02 0.01 0 0.01 0 0 0.02 0.01 0 0 0.02 0.01 0 0.01 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0.05 0 0.03
"wing" 0.02 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0.01 0.03 0.02 0.01 0.03 0 0.04 0.01 0 0.04 0 0 0 0 0 0 0 0 0
"wise" 0 0.03 0.04 0 0 0.01 0 0 0 0 0 0.01 0.03 0.01 0.03 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0.01 0.03
"yards" 0.02 0.02 0.02 0 0.01 0.05 0 0 0 0 0.02 0.01 0 0 0 0 0 0.01 0.02 0 0 0 0 0 0.01 0.01 0 0.03 0 0 0 0
"attacks" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03 0.01 0 0.02 0 0 0.11 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0
"badly" 0 0.01 0 0.02 0.02 0.01 0.01 0.01 0.01 0 0 0 0 0.01 0 0 0.03 0 0.04 0.03 0.01 0 0 0.01 0 0 0 0 0 0 0 0
"bridge" 0 0 0.1 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.06 0 0 0.01 0 0.01 0.01 0
"calm" 0 0.01 0 0 0 0 0.01 0 0.01 0.02 0.03 0 0 0.01 0.01 0.02 0 0.01 0 0 0 0.05 0.04 0 0 0 0 0 0 0 0 0
"clean" 0 0.01 0.01 0.02 0 0 0 0.02 0.01 0 0.01 0 0.01 0 0 0.01 0.03 0.01 0.01 0 0.01 0 0 0.02 0 0.02 0 0 0 0.01 0.01 0
"cliff" 0 0 0.02 0 0.01 0 0 0 0 0 0 0 0.09 0 0 0.03 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0.03
"clock" 0 0.02 0.02 0.01 0 0 0.05 0.01 0 0 0 0 0 0 0 0 0.02 0.01 0 0.03 0.01 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"comfortable" 0 0.01 0.01 0.02 0.02 0.01 0 0.01 0.02 0.01 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0.02 0.02 0.03 0 0 0 0 0
"companions" 0 0 0 0 0 0 0.02 0 0 0.02 0 0.01 0.01 0 0.03 0.01 0 0 0.02 0 0 0 0 0 0 0 0.01 0 0.02 0 0.06 0.01
"crabbe" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.17 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0
"crept" 0.02 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0.01 0.01 0 0 0.01 0 0.01 0 0 0 0 0.02 0 0 0.02 0.02 0 0.04 0.01 0.02
"crossed" 0 0.02 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0.02 0.01 0 0 0 0.01 0.01 0.02 0.01 0.02 0.02 0.01 0.02
"dad" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0.02 0 0 0.06 0 0.02 0.07 0 0 0 0 0 0 0 0
"daughter" 0.01 0 0 0 0.06 0 0 0.02 0 0.01 0.04 0.02 0 0 0 0 0 0.01 0 0 0.02 0.01 0 0 0 0.02 0 0 0 0 0 0
"dim" 0 0 0.01 0.03 0 0 0.02 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.03 0.02 0.05 0.01 0.01
"dinner" 0 0 0.01 0 0 0 0.03 0 0 0.01 0.01 0.01 0.03 0.01 0.01 0 0 0.01 0 0 0.04 0.02 0 0 0 0 0.02 0.01 0 0 0 0
"dog" 0.01 0 0.01 0 0 0.04 0 0.04 0 0 0 0 0 0 0 0.01 0.03 0.02 0 0 0 0 0.01 0.03 0 0 0.01 0 0 0 0 0.01
"drank" 0 0.02 0.01 0 0 0 0.01 0.01 0 0.04 0 0.01 0.01 0 0 0.01 0 0 0 0 0.04 0 0 0 0 0 0 0 0.02 0 0.02 0.02
