"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"your" 0.3 0.18 0.16 0.43 0.31 0.15 0.22 0.24 0.48 0.31 0.38 0.47 0.4 0.47 0.05 0.18 0.25 0.1 0.2 0.21 0.27 0.24 0.48 0.09 0.18 0.09 0.22 0.22 0.33 0.08 0.24 0.06
"like" 0.34 0.28 0.27 0.39 0.27 0.34 0.48 0.26 0.19 0.09 0.29 0.28 0.19 0.13 0.27 0.15 0.21 0.11 0.12 0.22 0.24 0.15 0.17 0.3 0.2 0.37 0.34 0.15 0.18 0.36 0.31 0.21
"been" 0.19 0.36 0.29 0.28 0.21 0.29 0.28 0.41 0.22 0.14 0.11 0.07 0.11 0.29 0.12 0.25 0.22 0.36 0.27 0.27 0.32 0.34 0.4 0.24 0.29 0.14 0.2 0.24 0.07 0.14 0.23 0.09
"an" 0.14 0.23 0.26 0.13 0.14 0.24 0.22 0.15 0.28 0.32 0.27 0.42 0.2 0.3 0.23 0.22 0.28 0.23 0.23 0.25 0.17 0.17 0.17 0.65 0.13 0.2 0.11 0.08 0.09 0.14 0.34 0.16
"will" 0.17 0.08 0.11 0.21 0.11 0.13 0.21 0.27 0.24 0.31 0.24 0.19 0.41 0.62 0.04 0.25 0.06 0.2 0.1 0.26 0.1 0.19 0.19 0.03 0.19 0.11 0.17 0.21 0.84 0.32 0.29 0.22
"about" 0.2 0.32 0.48 0.18 0.37 0.31 0.36 0.13 0.18 0.17 0.2 0.17 0.18 0.08 0.07 0.22 0.28 0.28 0.28 0.2 0.27 0.15 0.23 0.26 0.22 0.21 0.16 0.26 0.15 0.12 0.19 0.17
"back" 0.34 0.25 0.21 0.12 0.15 0.22 0.19 0.17 0.13 0.13 0.15 0.16 0.33 0.13 0.16 0.17 0.44 0.25 0.29 0.26 0.29 0.27 0.21 0.39 0.31 0.13 0.18 0.25 0.19 0.24 0.12 0.22
"down" 0.14 0.21 0.19 0.24 0.08 0.16 0.14 0.22 0.03 0.07 0.15 0.02 0.2 0.17 0.14 0.17 0.29 0.18 0.24 0.18 0.16 0.18 0.11 0.25 0.31 0.5 0.56 0.26 0.18 0.35 0.33 0.19
"more" 0.12 0.16 0.17 0.19 0.23 0.25 0.16 0.1 0.18 0.14 0.15 0.24 0.19 0.12 0.22 0.34 0.19 0.23 0.2 0.28 0.16 0.1 0.38 0.17 0.2 0.15 0.24 0.23 0.2 0.23 0.17 0.31
"did" 0.07 0.06 0.08 0.14 0.22 0.22 0.3 0.14 0.13 0.34 0.09 0.19 0.19 0.22 0.33 0.24 0.16 0.12 0.25 0.32 0.21 0.23 0.46 0.09 0.13 0.11 0.18 0.18 0.16 0.14 0.3 0.25
"very" 0.32 0.39 0.3 0.36 0.31 0.4 0.43 0.33 0.05 0.09 0.02 0.04 0.11 0.03 0.02 0.06 0.19 0.19 0.13 0.24 0.07 0.31 0.18 0.19 0.18 0.09 0.36 0.17 0.06 0.09 0.18 0.27
"can" 0.17 0.17 0.15 0.24 0.36 0.21 0.1 0.14 0.12 0.2 0.24 0.14 0.4 0.34 0.12 0.34 0.19 0.14 0.09 0.14 0.38 0.17 0.13 0.19 0.25 0.09 0.23 0.14 0.1 0.11 0.14 0.21
"who" 0.25 0.25 0.22 0.25 0.23 0.13 0.12 0.17 0.37 0.37 0.27 0.17 0.14 0.08 0.11 0.19 0.08 0.33 0.34 0.22 0.23 0.27 0.26 0.2 0.07 0.07 0.16 0.13 0.13 0.05 0.03 0.1
"see" 0.32 0.23 0.31 0.24 0.11 0.23 0.31 0.22 0.04 0.06 0.1 0.12 0.17 0.12 0.05 0.08 0.21 0.1 0.16 0.17 0.08 0.23 0.21 0.18 0.2 0.17 0.25 0.29 0.17 0.1 0.3 0.36
"only" 0.13 0.2 0.15 0.26 0.19 0.19 0.19 0.19 0.17 0.17 0.17 0.16 0.29 0.27 0.12 0.28 0.11 0.18 0.1 0.11 0.12 0.08 0.15 0.13 0.15 0.13 0.19 0.26 0.25 0.18 0.13 0.09
"before" 0.1 0.15 0.11 0.13 0.18 0.1 0.25 0.16 0.11 0.31 0.2 0.07 0.17 0.16 0.21 0.18 0.12 0.22 0.12 0.11 0.16 0.17 0.1 0.09 0.26 0.24 0.22 0.32 0.15 0.18 0.23 0.16
"know" 0.16 0.21 0.24 0.25 0.2 0.14 0.11 0.08 0.18 0.25 0.1 0.11 0.32 0.29 0.06 0.11 0.18 0.21 0.19 0.2 0.26 0.11 0.23 0.25 0.25 0.05 0.08 0.03 0.08 0.07 0.18 0.15
"time" 0.11 0.19 0.14 0.16 0.12 0.21 0.13 0.24 0.11 0.13 0.2 0.12 0.24 0.21 0.2 0.2 0.21 0.24 0.18 0.26 0.09 0.14 0.1 0.16 0.19 0.08 0.19 0.26 0.1 0.09 0.17 0.15
"again" 0.12 0.18 0.1 0.14 0.09 0.1 0.13 0.17 0.09 0.15 0.08 0.08 0.09 0.04 0.12 0.12 0.22 0.2 0.34 0.16 0.14 0.2 0.22 0.1 0.12 0.33 0.17 0.27 0.15 0.25 0.28 0.31
"than" 0.16 0.2 0.14 0.15 0.26 0.18 0.19 0.08 0.18 0.13 0.13 0.22 0.15 0.16 0.23 0.36 0.16 0.12 0.13 0.2 0.07 0.09 0.28 0.11 0.17 0.13 0.15 0.11 0.19 0.18 0.14 0.07
"over" 0.11 0.07 0.13 0.12 0.07 0.14 0.1 0.13 0.13 0.14 0.18 0.16 0.12 0.15 0.22 0.23 0.17 0.23 0.32 0.23 0.11 0.14 0.07 0.23 0.25 0.23 0.2 0.16 0.1 0.11 0.13 0.13
"long" 0.08 0.24 0.22 0.13 0.11 0.07 0.13 0.16 0.14 0.11 0.07 0.1 0.24 0.19 0.07 0.08 0.04 0.17 0.1 0.1 0.05 0.09 0.1 0.09 0.2 0.24 0.2 0.28 0.22 0.23 0.36 0.35
"which" 0.13 0.23 0.23 0.32 0.22 0.21 0.27 0.23 0.09 0.1 0.07 0.18 0.07 0.11 0.17 0.16 0.07 0.07 0.2 0.12 0.17 0.11 0.19 0.11 0.16 0.11 0.23 0.13 0.06 0.1 0.11 0.11
